"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",11588851,101134,493096,10210,1234,9925,6636,2636,10515,2128900,3374860,18180
"ELAN",5742598,121489,468580,11386,685,6555,3940,3073,5007,2146400,5343265,33808
"DIO",5595884,129343,567486,1943,2608,16640,19269,966,13094,2117800,2888214,63236
"DOGTATO",4787287,88008,435665,2848,910,5744,4721,3691,4449,2115200,6516934,15053
"ROLEN",4326628,119994,282605,7223,378,16872,6244,621,9334,2132800,4021224,26615
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"MRTEA",3544196,120711,335431,7197,593,4655,4290,2249,4759,2115200,2465936,20971
"RARE PEPE",3359823,76344,310215,10169,914,6505,4278,1751,6617,2122100,2203170,36887
"UNIT G17",3113113,56856,232278,3372,1300,5201,3850,1119,4671,2107800,1699720,9951
"MELLCOR",3091506,47181,158074,4795,558,3797,1808,591,4382,2103800,1094586,5529
"HEPTICAL",2998951,82475,272268,13701,1059,7039,4086,2452,6920,2120200,2444500,29857
"MR. BANG",2962713,48585,221807,2276,978,2190,1596,1073,2882,1691400,508945,1784
"ROSS__84",2747501,29125,232073,2438,885,3358,1924,165,1887,2101400,1981976,9854
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2528787,78919,346160,10623,535,5969,4116,1372,3717,2109900,2919988,34499
"TERATAI",2482165,60511,158648,8670,886,2068,1187,591,1915,2109200,1322302,8916
"KUWAII",2479243,35601,188592,335,946,2125,1822,896,4618,2099200,525612,3301
"LORENCES",2436929,60517,204221,8990,391,4109,2767,411,5779,2109200,1658597,13854
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"JFJFJFJFJFJF",2406227,55642,137848,5122,921,2215,1629,1685,2484,2110200,2039450,8729
"MR. WEIRDO",2320992,70177,231412,6801,842,5288,2680,1503,2811,2112100,2696310,14376
"MELOONS",2314363,36153,163719,5756,938,3199,1988,472,3074,2099600,867935,10528
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"SPECINEFF",2296540,53947,121850,6616,359,3208,2721,426,3826,2109100,1030235,18672
"TARN",2240186,41905,157722,6550,418,3746,1443,271,2500,2103900,1300930,12653
"RJ971",2239800,139577,405068,25685,455,3300,3111,2079,4581,2149700,8328777,37652
"DONKY",2011822,66632,164647,9832,389,3582,1992,1147,3464,2120700,3025449,21920
"SEMI",2004069,78907,228258,7181,594,3543,2640,1848,5258,2118500,3415971,21842
"I AM GAY",1964822,44934,116807,10624,664,3188,1917,693,4882,2103200,1399390,9071
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"ESTY",1854124,36226,143536,5263,538,1998,1279,923,1895,2103600,1595788,10415
"CHITKUA",1823559,59805,188319,6866,728,2850,2192,997,3866,2118200,2519979,24860
"X-STAR",1810088,61699,177618,4181,413,1942,3186,1168,2590,2102800,3261429,8893
"TOD THE WOODSMAN",1797205,28790,134914,3447,491,1423,972,494,891,2103400,1162696,8284
"SILKY",1712901,43971,160669,9388,1236,2067,1298,192,4412,2101800,1721596,12320
"JUSTIN FAN",1709588,76444,219496,10431,305,3923,4098,1521,2339,2131800,4580354,18961
"DOX",1693351,39264,184739,5195,490,3114,2376,471,2584,2102500,2332767,20181
"MAYSTER",1676588,23326,114437,1091,2015,1778,1203,615,821,1834600,1133739,5182
"JATIMATIK",1657458,57834,173776,9571,436,3113,2364,2341,2989,2110600,3036555,8743
"JOE SHMO",1634086,67649,217239,7489,405,2687,1815,653,1759,2115600,2301653,23649
"LLLLL-",1581619,37841,229984,775,1315,3844,2539,384,2447,2099600,1084774,7079
"CUCUMBER",1549837,53405,159801,4842,350,3408,2394,509,5132,2109100,1825383,24043
"SMOKO",1538818,50171,112320,1421,589,2748,2080,967,1684,2103100,1945061,17214
"SHIGEGGG",1515952,102429,223366,19660,410,2137,1473,1311,6233,2133700,5851937,10026
